FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,Glp Cilindro 25Lbs.,
1-ene-23,7.85222,32.55,30.99,33.75,15.99,122,4.88
2-ene-23,7.85222,32.55,30.99,33.75,15.99,122,4.88
3-ene-23,7.84773,32.56,31.42,35.31,16.39,122,4.88
4-ene-23,7.84906,32.56,31.42,35.31,16.39,122,4.88
5-ene-23,7.85221,32.56,31.42,35.31,16.39,122,4.88
6-ene-23,7.84856,32.56,31.42,35.31,16.39,122,4.88
7-ene-23,7.84856,32.56,31.42,35.31,16.39,122,4.88
8-ene-23,7.84856,32.56,31.42,35.31,16.39,122,4.88
9-ene-23,7.84628,33,31.6,35.98,16.39,122,4.88
10-ene-23,7.84395,33,31.6,35.98,16.39,122,4.88
11-ene-23,7.8488,33,31.6,35.98,16.39,122,4.88
12-ene-23,7.85,33,31.6,35.98,16.39,122,4.88
13-ene-23,7.84942,33,31.6,35.98,16.39,122,4.88
14-ene-23,7.84942,33,31.6,35.98,16.39,122,4.88
15-ene-23,7.84942,33,31.6,35.98,16.39,122,4.88
16-ene-23,7.84319,33.96,32.58,35.96,15.99,122,4.88
17-ene-23,7.84762,33.96,32.58,35.96,15.99,122,4.88
18-ene-23,7.84834,33.96,32.58,35.96,15.99,122,4.88
19-ene-23,7.85007,33.96,32.58,35.96,15.99,122,4.88
20-ene-23,7.85078,33.96,32.58,35.96,15.99,122,4.88
21-ene-23,7.85078,33.96,32.58,35.96,15.99,122,4.88
22-ene-23,7.85078,33.96,32.58,35.96,15.99,122,4.88
23-ene-23,7.84295,35.02,33.63,35.54,16.39,122,4.88
24-ene-23,7.84379,35.02,33.63,35.54,16.39,122,4.88
25-ene-23,7.84883,35.02,33.63,35.54,16.39,122,4.88
26-ene-23,7.85069,35.02,33.63,35.54,16.39,122,4.88
27-ene-23,7.85212,35.02,33.63,35.54,16.39,122,4.88
28-ene-23,7.85212,35.02,33.63,35.54,16.39,122,4.88
29-ene-23,7.85212,35.02,33.63,35.54,16.39,122,4.88
30-ene-23,7.84886,35.66,34.26,36.18,16.23,122,4.88
31-ene-23,7.84855,35.66,34.26,36.18,16.23,122,4.88
1-feb-23,7.84957,35.66,34.26,36.18,16.23,135,5.4
2-feb-23,7.84667,35.66,34.26,36.18,16.23,135,5.4
3-feb-23,7.84714,35.66,34.26,36.18,16.23,135,5.4
4-feb-23,7.84714,35.66,34.26,36.18,16.23,135,5.4
5-feb-23,7.84714,35.66,34.26,36.18,16.23,135,5.4
6-feb-23,7.84306,34.94,33.49,35.29,15.63,135,5.4
7-feb-23,7.84298,34.94,33.49,35.29,15.63,135,5.4
8-feb-23,7.84282,34.94,33.49,35.29,15.63,135,5.4
9-feb-23,7.84208,34.94,33.49,35.29,15.63,135,5.4
10-feb-23,7.83792,34.94,33.49,35.29,15.63,135,5.4
11-feb-23,7.83792,34.94,33.49,35.29,15.63,135,5.4
